date,time,place,reading,type
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","11:00 AM","KALANKI",29,R
"Sunday,July 31,2016","10:00 AM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","11:00 AM","PUTALISADAK",19,R
"Sunday,July 31,2016","11:00 AM","KALANKI",18,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","01:00 PM","KALANKI",29,R
"Sunday,July 31,2016","10:00 AM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","01:00 PM","PUTALISADAK",24,R
"Sunday,July 31,2016","01:00 PM","SATDOBATO",19,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","02:00 PM","KALANKI",29,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","02:00 PM","PUTALISADAK",24,R
"Sunday,July 31,2016","02:00 PM","SATDOBATO",20,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","02:00 PM","KALANKI",29,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","02:00 PM","PUTALISADAK",24,R
"Sunday,July 31,2016","02:00 PM","SATDOBATO",20,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","03:00 PM","KALANKI",30,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","03:00 PM","PUTALISADAK",25,R
"Sunday,July 31,2016","03:00 PM","SATDOBATO",20,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","04:00 PM","KALANKI",30,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","04:00 PM","PUTALISADAK",25,R
"Sunday,July 31,2016","04:00 PM","SATDOBATO",20,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","05:00 PM","KALANKI",30,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","04:00 PM","PUTALISADAK",25,R
"Sunday,July 31,2016","05:00 PM","SATDOBATO",20,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","06:00 PM","KALANKI",30,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","04:00 PM","PUTALISADAK",25,R
"Sunday,July 31,2016","06:00 PM","SATDOBATO",21,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","07:00 PM","KALANKI",30,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","04:00 PM","PUTALISADAK",25,R
"Sunday,July 31,2016","07:00 PM","SATDOBATO",21,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","08:00 PM","KALANKI",28,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","04:00 PM","PUTALISADAK",25,R
"Sunday,July 31,2016","08:00 PM","SATDOBATO",21,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","09:00 PM","KALANKI",35,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","04:00 PM","PUTALISADAK",25,R
"Sunday,July 31,2016","09:00 PM","SATDOBATO",22,R
"Sunday,July 31,2016","08:00 AM","GONGABU",9,R
"Sunday,July 31,2016","10:00 PM","KALANKI",35,R
"Sunday,July 31,2016","02:00 PM","KOTESHWOR",15,R
"Sunday,July 31,2016","06:00 AM","NEW BANESHWOR",37,R
"Sunday,July 31,2016","04:00 PM","PUTALISADAK",25,R
"Sunday,July 31,2016","10:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","08:00 AM","GONGABU",9,R
"Monday,August 01,2016","11:00 PM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",15,R
"Monday,August 01,2016","06:00 AM","NEW BANESHWOR",37,R
"Monday,August 01,2016","04:00 PM","PUTALISADAK",25,R
"Monday,August 01,2016","11:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","08:00 AM","GONGABU",9,R
"Monday,August 01,2016","11:00 PM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",15,R
"Monday,August 01,2016","06:00 AM","NEW BANESHWOR",37,R
"Monday,August 01,2016","04:00 PM","PUTALISADAK",25,R
"Monday,August 01,2016","11:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","08:00 AM","GONGABU",9,R
"Monday,August 01,2016","11:00 PM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",15,R
"Monday,August 01,2016","06:00 AM","NEW BANESHWOR",37,R
"Monday,August 01,2016","04:00 PM","PUTALISADAK",25,R
"Monday,August 01,2016","11:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","08:00 AM","GONGABU",9,R
"Monday,August 01,2016","11:00 PM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",15,R
"Monday,August 01,2016","06:00 AM","NEW BANESHWOR",37,R
"Monday,August 01,2016","04:00 PM","PUTALISADAK",25,R
"Monday,August 01,2016","11:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","08:00 AM","GONGABU",9,R
"Monday,August 01,2016","11:00 PM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",15,R
"Monday,August 01,2016","06:00 AM","NEW BANESHWOR",37,R
"Monday,August 01,2016","04:00 PM","PUTALISADAK",25,R
"Monday,August 01,2016","11:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","08:00 AM","GONGABU",9,R
"Monday,August 01,2016","11:00 PM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",15,R
"Monday,August 01,2016","06:00 AM","NEW BANESHWOR",37,R
"Monday,August 01,2016","04:00 PM","PUTALISADAK",25,R
"Monday,August 01,2016","11:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","05:00 AM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","05:00 AM","SATDOBATO",22,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","06:00 AM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","06:00 AM","SATDOBATO",22,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","06:00 AM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","07:00 AM","SATDOBATO",23,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","06:00 AM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","08:00 AM","SATDOBATO",24,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","06:00 AM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","09:00 AM","SATDOBATO",24,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","06:00 AM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","10:00 AM","SATDOBATO",25,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","06:00 AM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","11:00 AM","SATDOBATO",25,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","06:00 AM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","00:00 PM","SATDOBATO",24,R
"Monday,August 01,2016","00:00 PM","THAMEL",24,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","06:00 AM","KALANKI",35,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","01:00 PM","SATDOBATO",23,R
"Monday,August 01,2016","00:00 PM","THAMEL",24,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","03:00 PM","KALANKI",32,R
"Monday,August 01,2016","02:00 PM","KOTESHWOR",17,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","03:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","02:00 PM","THAMEL",17,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","04:00 PM","KALANKI",32,R
"Monday,August 01,2016","04:00 PM","KOTESHWOR",17,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","04:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","02:00 PM","THAMEL",17,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","05:00 PM","KALANKI",31,R
"Monday,August 01,2016","05:00 PM","KOTESHWOR",16,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","05:00 PM","SATDOBATO",21,R
"Monday,August 01,2016","02:00 PM","THAMEL",17,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","06:00 PM","KALANKI",28,R
"Monday,August 01,2016","06:00 PM","KOTESHWOR",16,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","06:00 PM","SATDOBATO",21,R
"Monday,August 01,2016","02:00 PM","THAMEL",17,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","07:00 PM","KALANKI",27,R
"Monday,August 01,2016","07:00 PM","KOTESHWOR",17,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","07:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","02:00 PM","THAMEL",17,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","08:00 PM","KALANKI",26,R
"Monday,August 01,2016","08:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","08:00 PM","SATDOBATO",23,R
"Monday,August 01,2016","02:00 PM","THAMEL",17,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","09:00 PM","KALANKI",27,R
"Monday,August 01,2016","09:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","09:00 PM","SATDOBATO",23,R
"Monday,August 01,2016","02:00 PM","THAMEL",17,R
"Monday,August 01,2016","08:00 AM","GONGABU",7,R
"Monday,August 01,2016","10:00 PM","KALANKI",27,R
"Monday,August 01,2016","10:00 PM","KOTESHWOR",18,R
"Monday,August 01,2016","02:00 AM","PUTALISADAK",26,R
"Monday,August 01,2016","10:00 PM","SATDOBATO",22,R
"Monday,August 01,2016","02:00 PM","THAMEL",17,R
"Tuesday,August 02,2016","08:00 AM","GONGABU",7,R
"Tuesday,August 02,2016","11:00 PM","KALANKI",27,R
"Tuesday,August 02,2016","11:00 PM","KOTESHWOR",17,R
"Tuesday,August 02,2016","02:00 AM","PUTALISADAK",26,R
"Tuesday,August 02,2016","11:00 PM","SATDOBATO",22,R
"Tuesday,August 02,2016","02:00 PM","THAMEL",17,R
"Tuesday,August 02,2016","08:00 AM","GONGABU",7,R
"Tuesday,August 02,2016","11:00 PM","KALANKI",27,R
"Tuesday,August 02,2016","11:00 PM","KOTESHWOR",17,R
"Tuesday,August 02,2016","02:00 AM","PUTALISADAK",26,R
"Tuesday,August 02,2016","11:00 PM","SATDOBATO",22,R
"Tuesday,August 02,2016","02:00 PM","THAMEL",17,R
"Tuesday,August 02,2016","08:00 AM","GONGABU",7,R
"Tuesday,August 02,2016","11:00 PM","KALANKI",27,R
"Tuesday,August 02,2016","11:00 PM","KOTESHWOR",17,R
"Tuesday,August 02,2016","02:00 AM","PUTALISADAK",26,R
"Tuesday,August 02,2016","11:00 PM","SATDOBATO",22,R
"Tuesday,August 02,2016","02:00 PM","THAMEL",17,R
"Tuesday,August 02,2016","08:00 AM","GONGABU",7,R
"Tuesday,August 02,2016","11:00 PM","KALANKI",27,R
"Tuesday,August 02,2016","11:00 PM","KOTESHWOR",17,R
"Tuesday,August 02,2016","02:00 AM","PUTALISADAK",26,R
"Tuesday,August 02,2016","11:00 PM","SATDOBATO",22,R
"Tuesday,August 02,2016","02:00 PM","THAMEL",17,R
"Tuesday,August 02,2016","08:00 AM","GONGABU",7,R
"Tuesday,August 02,2016","11:00 PM","KALANKI",27,R
"Tuesday,August 02,2016","11:00 PM","KOTESHWOR",17,R
"Tuesday,August 02,2016","02:00 AM","PUTALISADAK",26,R
"Tuesday,August 02,2016","11:00 PM","SATDOBATO",22,R
"Tuesday,August 02,2016","02:00 PM","THAMEL",17,R
"Tuesday,August 02,2016","08:00 AM","GONGABU",7,R
"Tuesday,August 02,2016","11:00 PM","KALANKI",27,R
"Tuesday,August 02,2016","11:00 PM","KOTESHWOR",17,R
"Tuesday,August 02,2016","02:00 AM","PUTALISADAK",26,R
"Tuesday,August 02,2016","11:00 PM","SATDOBATO",22,R
"Tuesday,August 02,2016","02:00 PM","THAMEL",17,R
"Tuesday,August 02,2016","05:00 AM","KALANKI",14,R
"Tuesday,August 02,2016","00:00 AM","KOTESHWOR",16,R
"Tuesday,August 02,2016","02:00 AM","PUTALISADAK",9,R
"Tuesday,August 02,2016","05:00 AM","SATDOBATO",23,R
"Tuesday,August 02,2016","02:00 PM","THAMEL",17,R
"Tuesday,August 02,2016","06:00 AM","KALANKI",14,R
"Tuesday,August 02,2016","00:00 AM","KOTESHWOR",16,R
"Tuesday,August 02,2016","02:00 AM","PUTALISADAK",9,R
